date,country,avg_temperature,humidity,co2_emission,energy_consumption,renewable_share,urban_population,industrial_activity_index,energy_price
2020-01-01,Germany,28.29,31.08,212.63,11348.75,14.42,76.39,51.22,83.93
2020-01-02,Germany,28.38,37.94,606.05,4166.64,5.63,86.26,78.27,110.4
2020-01-03,Germany,28.74,57.67,268.72,4503.8,14.2,75.92,48.96,173.58
2020-01-04,Germany,26.66,51.34,167.32,3259.13,13.84,63.15,97.42,89.13
2020-01-05,Germany,26.81,65.38,393.89,7023.72,6.93,76.02,81.89,40.6
2020-01-06,Germany,27.81,32.92,644.48,11955.99,7.08,78.71,78.7,128.62
2020-01-07,Germany,29.25,59.4,259.19,4023.14,8.57,75.15,58.83,96.99
2020-01-08,Germany,28.9,55.12,76.08,5582.5,12.4,65.77,56.95,70.62
2020-01-09,Germany,26.98,88.36,122.54,7129.83,5.95,81.62,48.08,62.45
2020-01-10,Germany,27.05,31.19,253.33,4006.5,12.56,85.8,70.89,32.5
2020-01-11,Germany,28.75,89.33,245.71,1826.43,11.97,61.75,40.08,182.8
2020-01-12,Germany,28.32,48.71,704.67,11142.89,7.38,88.69,65.67,98.55
2020-01-13,Germany,27.71,69.36,673.64,4082.0,10.5,78.04,91.73,64.2
2020-01-14,Germany,29.47,67.07,98.61,6209.55,9.04,61.31,69.46,169.26
2020-01-15,Germany,28.74,33.99,522.04,9372.75,5.43,79.02,95.66,161.27
2020-01-16,Germany,28.6,88.14,567.84,4222.41,9.89,89.61,80.82,36.74
2020-01-17,Germany,29.76,87.99,497.18,7873.18,12.38,87.89,64.13,162.55
2020-01-18,Germany,28.52,30.67,392.93,6818.65,10.65,86.08,78.04,118.72
2020-01-19,Germany,28.83,41.36,201.45,11325.05,11.06,77.92,51.22,34.67
2020-01-20,Germany,29.24,67.17,639.19,3711.64,5.49,70.4,92.49,84.28
2020-01-21,Germany,29.99,73.81,462.57,6296.38,14.28,72.98,96.39,95.39
2020-01-22,Germany,27.68,60.46,396.19,1701.11,6.71,88.92,69.63,144.6
2020-01-23,Germany,28.57,43.33,234.18,9347.77,6.27,70.04,62.63,89.69
2020-01-24,Germany,26.67,49.9,509.11,9811.14,12.9,81.17,54.19,129.29
2020-01-25,Germany,29.04,35.25,589.62,3840.67,10.24,62.59,61.83,119.29
2020-01-26,Germany,29.4,57.38,297.26,9874.91,5.68,67.38,57.11,91.84
2020-01-27,Germany,29.57,61.48,95.92,9560.11,11.28,71.33,52.07,193.54
2020-01-28,Germany,29.12,78.86,699.09,3613.73,9.77,73.74,71.11,195.12
2020-01-29,Germany,28.47,69.43,400.47,8347.11,9.65,69.61,48.2,52.34
2020-01-30,Germany,26.73,73.36,603.23,8650.0,11.81,71.27,97.36,175.57
2020-01-31,Germany,29.6,72.51,507.57,7990.14,14.77,62.93,49.83,192.98
2020-02-01,Germany,30.68,78.87,871.14,6768.59,10.07,63.06,99.06,49.45
2020-02-02,Germany,32.94,34.06,808.92,1902.59,14.11,62.95,70.66,154.68
2020-02-03,Germany,29.58,78.53,861.99,11751.94,14.87,80.81,78.3,70.29
2020-02-04,Germany,32.77,57.18,576.56,9731.73,5.16,85.75,68.8,166.09
2020-02-05,Germany,32.49,42.64,903.97,8058.8,8.28,84.89,91.67,164.51
2020-02-06,Germany,32.11,59.6,472.5,4744.98,7.78,79.24,41.65,169.1
2020-02-07,Germany,34.58,66.09,449.06,14916.15,9.04,63.26,97.64,64.82
2020-02-08,Germany,34.78,66.09,867.34,6204.52,13.22,85.23,71.45,181.33
2020-02-09,Germany,30.55,55.14,468.12,4047.52,12.29,63.48,41.33,145.43
2020-02-10,Germany,35.02,78.29,227.1,12767.87,9.48,88.96,92.83,163.44
2020-02-11,Germany,32.66,63.17,518.97,1885.76,5.03,86.02,89.87,191.62
2020-02-12,Germany,30.07,56.37,875.79,2722.01,13.61,63.86,42.13,170.22
2020-02-13,Germany,33.14,67.02,200.46,5040.88,9.58,87.12,54.43,155.26
2020-02-14,Germany,31.29,55.78,160.14,13015.97,14.21,79.43,68.29,35.83
2020-02-15,Germany,30.68,40.64,503.84,5868.49,13.09,78.31,97.52,170.47
2020-02-16,Germany,30.44,50.62,658.6,14358.32,8.65,66.24,84.85,78.34
2020-02-17,Germany,29.79,75.74,780.7,9986.24,6.25,79.65,54.95,129.35
2020-02-18,Germany,29.97,31.75,178.62,13826.53,11.53,77.32,52.03,113.0
2020-02-19,Germany,30.48,30.11,917.78,10015.62,9.6,70.66,52.27,104.05
2020-02-20,Germany,30.49,53.95,489.73,2441.82,6.03,67.85,69.86,122.18
2020-02-21,Germany,30.91,62.53,127.66,8172.66,5.55,60.47,43.87,130.16
2020-02-22,Germany,34.41,86.16,592.33,7681.87,5.11,87.69,77.33,145.68
2020-02-23,Germany,30.76,51.2,401.54,4540.99,6.26,79.52,72.06,178.28
2020-02-24,Germany,31.58,54.15,240.51,11762.45,6.24,71.03,77.52,58.23
2020-02-25,Germany,33.64,87.25,385.56,7062.98,9.41,67.9,51.37,34.68
2020-02-26,Germany,32.83,68.79,621.2,5163.89,9.8,71.28,63.75,143.32
2020-02-27,Germany,31.79,64.2,178.15,6404.09,14.7,83.26,51.23,188.75
2020-02-28,Germany,32.68,61.78,279.23,2963.86,12.55,65.98,97.61,147.63
2020-02-29,Germany,32.27,69.48,646.75,4051.86,5.52,69.25,49.23,103.12
2020-03-01,Germany,36.53,34.45,888.03,9650.48,10.64,75.49,86.16,83.33
